Player,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Alex McCarthy,7,630,-,-,-,-,-,0.3,-,-,-,6.33
Josh Griffiths,21,1890,-,-,-,-,-,0.1,-,-,-,6.33
Vivaldo Semedo,5(16),625,3,1,1.1,0.2,0.2,0.2,-,0.4,1.2,6.33
Lewis Koumas,0(4),109,1,-,0.5,0.3,-,0.3,-,0.3,2.5,6.33
Lewis Travis,11(3),1015,-,1,0.1,0.4,0.1,1.5,0.1,0.9,0.9,6.32
Sam Szmodics,2,178,-,-,1.5,-,0.5,0.5,-,0.5,2,6.32
Keshi Anderson,7(12),724,1,-,0.6,0.7,0.3,1.1,0.3,0.6,1.6,6.32
Svante Ingelsson,30(1),2583,1,-,0.7,0.9,0.3,1.2,0.1,1,2.6,6.32
Liam Thompson,11(6),1027,1,-,0.2,0.2,0.3,0.8,-,0.5,0.9,6.32
Tony Springett,6(6),514,-,-,0.3,0.2,0.7,0.6,0.2,0.5,0.9,6.32
Gabriel Otegbayo,17(7),1562,-,-,0.1,0.1,0.5,0.8,0.2,0.1,0.8,6.31
Leo Walta,0(3),55,-,-,0.3,0.3,0.7,1.3,-,0.3,1,6.31
Djibril Soumaré,11(11),946,-,-,0.9,0.3,0.4,0.4,-,0.8,0.8,6.31
Charlie Kelman,15(9),1188,4,-,0.8,0.2,0.2,0.2,0.5,0.8,1,6.31
Alex Williams,0(1),2,-,-,-,-,-,-,-,-,-,6.31
Andrija Vukcevic,9(9),688,-,2,-,0.6,0.3,0.1,-,-,0.9,6.31
Joel Ndala,10(7),782,1,-,0.8,0.2,0.8,0.9,0.2,1.1,1.1,6.31
Bright Osayi-Samuel,12(6),976,-,1,0.1,0.3,0.5,1.1,0.2,0.5,1.2,6.31
Alex Matos,3(5),320,-,-,-,0.1,0.3,1.5,-,0.4,0.9,6.3
Luke Harris,7(9),623,1,-,0.4,0.4,0.3,0.4,0.1,0.2,0.3,6.3
Sinclair Armstrong,9(23),1300,4,-,1.2,0.2,0.4,1,0.3,1,1.3,6.3
Amankwah Forson,5(6),439,1,-,1.5,0.2,0.5,0.2,-,0.5,1.9,6.3
Sam Szmodics,8(8),677,1,-,1.3,0.4,0.4,0.8,0.3,0.5,0.6,6.3
Ollie Cooper,0(1),24,-,-,-,-,1,1,-,1,1,6.3
Will Lankshear,21(10),1859,6,1,1.1,0.7,0.2,1.1,1,1.1,1.9,6.3
Tahith Chong,4(7),385,-,1,0.5,0.6,0.4,0.7,-,0.8,0.8,6.3
Charlie McNeill,17(12),1528,4,1,0.9,0.5,0.6,0.4,-,0.6,1.3,6.3
Yisa Alao,1(1),64,-,-,-,-,0.5,-,-,-,1.5,6.3
Liam Palmer,29(3),2596,-,1,0.4,0.3,0.3,0.5,0.2,0.2,0.4,6.29
Siriki Dembélé,4(15),648,-,-,0.4,0.6,1.1,1.1,-,1.5,1.4,6.29
Steven Nzonzi,9(11),743,1,-,0.1,0.1,-,0.2,-,0.2,0.3,6.29
Macaulay Langstaff,7(18),920,3,1,0.9,0.3,0.2,0.4,0.2,0.4,0.9,6.29
Jamie Allen,4(17),551,1,1,0.3,0.2,-,-,-,-,0.5,6.29
Patson Daka,10(18),1132,2,3,1,0.3,0.1,0.8,0.3,0.4,1.7,6.29
Ashley Young,3(10),393,-,-,0.2,0.8,-,0.3,-,0.2,0.3,6.29
Jeremy Sarmiento,1(3),97,-,-,0.8,0.5,-,0.3,-,0.5,1.3,6.29
Alfie Gilchrist,6(5),484,-,-,0.2,0.5,0.1,0.5,-,0.4,0.1,6.28
Jake Bidwell,2(5),256,-,-,0.1,0.1,0.1,0.1,0.1,0.1,0.4,6.28
Enis Destan,4(14),433,2,-,0.5,0.4,0.2,0.1,-,0.4,1.1,6.28
Noah Eile,1(1),91,-,-,0.5,-,-,-,-,-,-,6.28
Darko Gyabi,6(14),692,2,-,0.5,0.4,0.3,0.5,0.1,0.4,1.2,6.27
Adam Forshaw,5(7),348,-,-,0.3,0.2,0.1,0.5,-,-,0.4,6.27
Yu Hirakawa,3(21),514,1,2,0.3,0.3,0.3,0.5,-,0.4,0.9,6.27
Ryan Barnett,4(8),418,-,-,-,0.3,0.3,0.4,-,0.4,0.3,6.27
Przemyslaw Placheta,14(9),1086,3,1,1.3,0.7,0.5,0.2,0.2,0.6,1.5,6.27
Lars-Jørgen Salvesen,3(22),418,3,2,0.4,0.2,0.1,-,-,0.4,0.4,6.26
