Player,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Paddy McNair,2,166,-,-,1,0.5,-,2,-,0.5,1,5.87
Joel Ndala,2(1),197,-,-,0.3,0.7,2,1.7,0.3,2,2.7,5.87
Favour Onukwuli,0(3),20,-,-,0.3,0.3,-,-,-,0.3,1,5.85
Olabade Aluko,1(4),146,-,-,0.4,0.2,-,0.6,-,0.4,0.2,5.85
Olutayo Singerr,0(1),16,-,-,-,-,-,-,-,-,1,5.83
Nathan Redmond,0(6),103,-,-,0.3,-,-,0.3,-,0.3,0.2,5.82
Joe Williams,0(2),30,-,-,-,-,0.5,0.5,-,-,1,5.81
Aidomo Emakhu,2(1),160,-,-,-,-,0.3,1.3,0.3,2.3,0.7,5.74
Joe Wildsmith,7,630,-,-,-,-,-,0.3,-,-,0.1,5.7
Marvelous Nakamba,0(1),29,-,-,-,-,-,-,-,-,2,5.66
Adam Davies,0(1),45,-,-,-,-,-,-,-,-,-,5.46
Joe Rothwell,0(1),35,-,-,-,1,-,-,-,-,-,5.15
Rhys Norrington-Davies,1,57,-,-,-,-,-,-,-,1,-,4.71
