Player,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
Casper De Norre,18(2),1524,2,0.7,32.4,81.6,0.2,2,0.1,6.69
Ben Nelson,17,1434,-,0.1,39.6,80,-,2.1,-,6.69
Semi Ajayi,9(3),867,-,-,31.9,74.9,-,1.7,-,6.69
Chris Mepham,21(4),1935,-,0.2,51.2,87.6,-,2.8,-,6.69
Oscar Schwartau,21(9),1859,1,0.8,18.3,79.6,0.3,0.5,0.1,6.69
Luke Woolfenden,7(5),705,-,0.4,28.9,87.9,-,1,-,6.69
Papa Diallo,6(3),540,2,1.1,17.1,77.3,0.3,0.7,-,6.68
Rumarn Burrell,21(5),1847,3,0.8,10.3,62.3,-,0.2,-,6.68
James Beadle,23,2070,-,-,37.2,57.8,-,4,-,6.68
Josh Windass,19(9),1581,5,1,21.6,81.4,0.3,0.9,0.1,6.68
Nathan Broadhead,14(12),1365,4,0.9,21.2,82.8,0.2,0.4,0.2,6.68
Ryan Giles,26(1),2169,8,1.3,23.1,77.2,1.7,1.4,-,6.68
Luca Kjerrumgaard,25(6),2076,1,0.6,11.3,67.6,-,0.2,-,6.68
Miles Leaburn,17(12),1720,1,0.6,14.3,48.8,0.2,0.1,-,6.68
Amadou Mbengue,25(4),2243,-,0.3,31.4,78.4,0.3,1.2,-,6.68
Jonathan Varane,20(4),1618,2,0.3,30.7,78.3,-,1.8,0.1,6.68
Ryan Leonard,11(8),1097,1,0.5,22.2,60.4,0.2,1.6,-,6.67
Luke Chambers,6,446,1,0.7,19.2,76.5,1,0.2,-,6.67
Josh Murphy,12(2),1062,6,1.7,14.3,62,1.5,1.3,-,6.67
Aaron Cresswell,20(2),1802,3,0.9,46.2,84.4,1,2.5,-,6.67
Dan Scarr,10(4),892,1,0.1,28.6,80.5,-,1.9,-,6.67
Lewis Brunt,6(3),551,-,-,27.7,85.1,-,1,-,6.67
Arthur Okonkwo,29(1),2611,-,-,21.9,53.2,-,6.1,-,6.67
Jordan Ayew,22(8),1983,3,0.7,14.9,83,0.4,0.2,-,6.67
Mateus Fernandes,2(1),190,1,1.7,37.3,81.3,1.3,2.3,-,6.66
Egil Selvik,27,2386,-,-,29.7,65.1,-,4.8,-,6.66
Colby Bishop,26(3),2379,-,0.4,17.5,59.1,-,0.1,-,6.66
Jakov Medic,12(2),1119,1,0.2,55.1,87.2,-,3.4,-,6.66
Jamaldeen Jimoh-Aloba,3,193,-,0.7,12.3,67.6,-,0.3,-,6.66
Darnell Furlong,3,270,-,1.3,48.7,82.2,0.7,2.3,-,6.65
Ellis Simms,10(20),1095,2,0.4,6.8,61.1,-,0.1,-,6.65
Kellen Fisher,26(4),2369,-,0.6,34.6,81.7,0.3,1.6,-,6.65
Alan Browne,16(11),1617,1,0.5,37.1,84.4,0.1,1.6,-,6.65
Krystian Bielik,9(6),811,-,0.1,34,86.1,-,1.3,-,6.65
Amari'i Bell,22(1),1865,-,0.3,33.2,75.7,0.1,1.5,-,6.65
Rhys Norrington-Davies,22(4),1997,-,0.5,30.3,71.9,0.5,1.5,-,6.65
Sam Long,23(4),2119,1,0.4,27,72.3,0.1,1.5,-,6.65
Ivor Pandur,32,2880,-,-,37.9,58.8,-,7.6,-,6.64
Million Manhoef,23(9),2073,2,1.1,15.3,75.7,0.4,0.5,0.2,6.64
Marvin Ducksch,19(5),1452,1,0.9,15,64,0.1,0.4,-,6.64
Saba Goglichidze,2(1),167,-,-,21.3,85.9,-,1,-,6.64
Josh Coburn,10(4),865,-,0.7,9,69.8,0.1,0.1,-,6.64
Kyle Joseph,22(8),1779,2,0.5,10.4,63.8,-,0.1,-,6.64
Ben Sheaf,24(3),1818,-,0.6,41.4,86.5,0.1,2,-,6.64
