Player,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
Ante Crnac,8(3),760,-,0.6,12.8,73.8,0.1,0.7,0.3,6.39
Iván Azón,11(14),1047,2,0.4,8.7,69.6,-,0.2,-,6.39
Emiliano Marcondes,7(9),650,2,0.6,15.1,78.1,0.1,0.6,0.1,6.39
Oliver Arblaster,7(7),644,1,0.5,24.9,83.6,0.1,0.7,-,6.39
Jamie Donley,0(4),77,1,0.3,2.8,72.7,-,-,-,6.39
Delano Burgzorg,11(14),1078,2,0.9,10.3,85.2,0.2,0.1,-,6.39
Wout Faes,9(6),855,1,0.1,40.3,90.7,0.1,1.5,-,6.39
Boubakary Soumaré,9(7),887,2,0.9,33.4,90.5,0.2,1.1,-,6.39
Jed Wallace,7(9),659,1,0.6,12.8,77.1,0.4,0.5,-,6.39
Paris Maghoma,0(2),76,-,1,15.5,83.9,0.5,1.5,-,6.39
Cameron Bragg,3(6),339,-,0.3,25.4,90.8,-,0.9,-,6.38
Ben Pearson,16(7),1377,-,-,27.5,86.1,-,1.4,-,6.38
John Lundstram,11(6),973,-,0.1,32.3,79.8,-,3,0.1,6.38
Kalvin Phillips,2(1),161,-,0.3,24.7,81.1,-,1,-,6.38
Samuel Iling-Junior,14(10),1292,-,0.7,16.7,75.8,0.5,0.3,-,6.38
Ishé Samuels-Smith,3(2),197,1,0.4,22.4,83,0.2,0.6,-,6.38
Ronnie Edwards,8(3),666,-,0.2,47.6,87.6,-,1.7,-,6.38
Chuba Akpom,7(16),798,-,0.5,9.3,83.7,-,0.1,-,6.37
Jacob Wright,10(9),949,1,1.1,24.4,79.3,0.8,1.1,-,6.37
Matej Jurásek,6(10),491,2,0.6,9.1,74,0.5,0.8,0.1,6.37
Ibane Bowat,7(4),580,-,0.2,24.2,74.1,0.1,0.6,-,6.37
Nampalys Mendy,7(5),693,-,0.3,24.8,81.2,0.1,1.3,-,6.37
Ousmane Diakité,14(10),1350,-,0.5,28.5,85.4,-,0.8,-,6.37
George McCormick,0(1),31,-,-,4,50,-,1,-,6.37
Ricardo Santos,0(1),22,-,-,13,92.3,-,1,-,6.37
Sean Fusire,13(10),1261,-,0.3,19.3,80.9,0.2,0.6,-,6.37
Sam Smith,6(21),735,-,0.3,5.4,62.1,-,-,-,6.37
George Brown,3(4),308,-,0.4,7,73.5,-,-,-,6.37
Bailey Cadamarteri,23(6),2107,-,0.5,9.3,61.1,0.1,-,-,6.37
Daniel Peretz,7,630,-,-,35.3,60.7,-,5,-,6.37
Liam Gibbs,5(5),449,-,0.9,15,78.7,0.4,0.7,-,6.36
Esquerdinha,6(6),516,1,0.3,18.8,72.1,0.1,1.1,-,6.36
Sam Gallagher,1(9),277,-,0.3,5.2,48.1,-,-,-,6.36
Thomas Cannon,14(13),1253,1,0.2,6.9,54.8,-,0.1,-,6.36
Callum Lang,0(2),48,1,0.5,4,100,-,0.5,-,6.36
Oladapo Afolayan,1(2),77,-,-,12,72.2,0.7,0.3,-,6.36
Jamal Lowe,26(7),2271,-,0.5,16.8,75.5,0.2,0.3,0.1,6.35
Gavin Bazunu,19,1710,-,-,33.4,76.7,-,4.1,-,6.35
Elliott Moore,2,156,-,-,13.5,85.2,-,0.5,-,6.35
Aaron Ramsey,3(5),268,-,0.4,11.3,82.2,-,0.3,-,6.35
Olaf Kobacki,3(3),296,-,0.5,13.3,75,-,0.2,-,6.34
Connor O'Riordan,3(2),339,-,0.4,30.6,75.8,0.2,1.8,-,6.34
Yang Min-Hyeok,9(6),675,1,0.6,10.1,73.5,0.1,0.1,-,6.34
Melker Widell,10(15),909,1,0.4,10.6,73.9,0.3,0.2,-,6.34
Tom Davies,3(4),287,-,0.4,22.6,81.6,-,0.3,0.1,6.34
Ryan Fraser,9(7),879,2,0.8,26.3,84.5,0.7,1.1,-,6.34
Kaine Kesler-Hayden,4(14),470,1,0.3,11.8,80.2,0.1,0.4,-,6.34
Kasey McAteer,8(10),724,1,0.8,11.1,73,0.2,0.3,0.1,6.34
Jamal Lewis,6(8),596,1,0.2,13.9,80.5,0.4,0.3,-,6.34
Karoy Anderson,6(4),529,1,0.2,22.5,82.7,0.1,1,-,6.34
Jordan Thompson,6(6),535,2,0.5,19,83.3,0.2,0.6,0.1,6.34
Liam Cullen,13(14),1265,-,0.5,12.6,79.5,-,0.4,-,6.34
Joe Bryan,6(10),689,-,0.4,23.8,74.3,0.3,1.1,-,6.33
Raees Bangura-Williams,5(9),453,1,0.3,7.7,74.1,-,0.1,-,6.33
Tyler Goodrham,9(4),683,1,0.8,14.2,70.7,0.2,0.4,-,6.33
Kaelan Casey,3(5),291,1,0.3,25.4,92.6,-,0.6,-,6.33
Alex McCarthy,7,630,-,-,25.3,62.1,-,4.3,-,6.33
Josh Griffiths,21,1890,-,-,31.5,58.6,-,5.7,-,6.33
Vivaldo Semedo,5(16),625,1,0.2,5.3,67.6,-,-,-,6.33
Lewis Koumas,0(4),109,-,0.3,5.8,52.2,0.3,0.3,-,6.33
Lewis Travis,11(3),1015,1,0.4,35.5,80.5,0.4,1.2,-,6.32
Sam Szmodics,2,178,-,-,17,79.4,-,-,-,6.32
Keshi Anderson,7(12),724,-,0.7,15,81.4,0.4,0.6,-,6.32
Svante Ingelsson,30(1),2583,-,0.9,23.3,73.5,0.5,0.7,-,6.32
Liam Thompson,11(6),1027,-,0.2,26.2,85.2,0.1,1.2,-,6.32
Tony Springett,6(6),514,-,0.2,12.1,72.4,0.1,0.1,-,6.32
Gabriel Otegbayo,17(7),1562,-,0.1,26.8,84.9,-,1.3,-,6.31
Leo Walta,0(3),55,-,0.3,10.3,74.2,-,-,-,6.31
Djibril Soumaré,11(11),946,-,0.3,19.9,79.5,-,0.7,-,6.31
Charlie Kelman,15(9),1188,-,0.2,5.9,66.7,-,0.1,-,6.31
Alex Williams,0(1),2,-,-,3,100,-,-,-,6.31
Andrija Vukcevic,9(9),688,2,0.6,10.4,71.7,0.6,0.6,-,6.31
Joel Ndala,10(7),782,-,0.2,7.8,81.2,0.1,0.2,-,6.31
Bright Osayi-Samuel,12(6),976,1,0.3,19.5,84.3,0.2,0.4,-,6.31
Alex Matos,3(5),320,-,0.1,18.5,87.8,0.1,0.5,-,6.3
Luke Harris,7(9),623,-,0.4,11.3,72.2,-,0.1,-,6.3
Sinclair Armstrong,9(23),1300,-,0.2,7,83,-,0.2,-,6.3
Amankwah Forson,5(6),439,-,0.2,8.3,79.1,0.2,-,-,6.3
Sam Szmodics,8(8),677,-,0.4,9.9,78.6,0.1,0.2,-,6.3
Ollie Cooper,0(1),24,-,-,7,85.7,-,-,-,6.3
Will Lankshear,21(10),1859,1,0.7,9.3,69.3,-,0.2,-,6.3
Tahith Chong,4(7),385,1,0.6,11.3,83.9,0.2,0.2,-,6.3
Charlie McNeill,17(12),1528,1,0.5,14.9,72.5,0.2,0.4,-,6.3
Yisa Alao,1(1),64,-,-,11.5,91.3,-,0.5,-,6.3
Liam Palmer,29(3),2596,1,0.3,29.9,76,0.2,1.3,-,6.29
Siriki Dembélé,4(15),648,-,0.6,6.9,80.3,0.3,0.2,-,6.29
Steven Nzonzi,9(11),743,-,0.1,21.1,78,0.1,0.7,-,6.29
Macaulay Langstaff,7(18),920,1,0.3,6.3,68.2,0.1,0.2,-,6.29
Jamie Allen,4(17),551,1,0.2,13.4,89.4,-,0.6,-,6.29
Patson Daka,10(18),1132,3,0.3,7.5,69.2,-,-,-,6.29
Ashley Young,3(10),393,-,0.8,23.4,83.6,0.8,1.4,0.1,6.29
Jeremy Sarmiento,1(3),97,-,0.5,14.5,82.8,0.3,-,-,6.29
Alfie Gilchrist,6(5),484,-,0.5,25.6,78.7,0.1,0.8,-,6.28
Jake Bidwell,2(5),256,-,0.1,16,75,-,0.4,-,6.28
Enis Destan,4(14),433,-,0.4,7.9,62.2,0.1,0.1,-,6.28
Noah Eile,1(1),91,-,-,25.5,72.5,-,-,-,6.28
Darko Gyabi,6(14),692,-,0.4,10.8,81.5,0.1,0.4,-,6.27
Adam Forshaw,5(7),348,-,0.2,17.8,81.2,0.3,0.9,-,6.27
Yu Hirakawa,3(21),514,2,0.3,5.9,82.3,0.2,0.1,-,6.27
Ryan Barnett,4(8),418,-,0.3,9.3,79.3,0.7,0.7,-,6.27
Przemyslaw Placheta,14(9),1086,1,0.7,11.9,73.4,0.3,0.4,-,6.27
Lars-Jørgen Salvesen,3(22),418,2,0.2,4,60,-,0.1,-,6.26
Mads Roerslev,5(4),472,-,0.3,25.2,76.2,0.1,0.7,0.1,6.26
Adam Idah,5(13),613,1,0.8,7.8,68.1,-,-,0.1,6.26
Japhet Tanganga,2,180,-,-,34,77.9,-,2,-,6.26
Nathan Baxter,6(1),585,-,-,27,69.8,-,4.4,-,6.26
Mads Frökjaer-Jensen,2(16),501,-,0.2,10.1,69.2,0.1,0.2,-,6.26
Márk Kosznovszky,6(9),641,-,0.7,15.1,79.3,0.5,0.7,-,6.26
Jeremy Monga,7(15),802,2,0.3,8.3,84.2,0.1,0.1,-,6.26
Leo Hjelde,0(3),18,-,-,4.3,76.9,-,-,-,6.26
Caleb Wiley,3(2),223,-,0.2,18.4,82.6,0.4,0.6,-,6.26
Joe Walsh,11,990,-,-,30.6,50.4,-,5.4,-,6.26
David Akintola,6(15),504,2,0.3,5.8,77.7,-,0.3,-,6.25
Sidnei Tavares,6(5),566,1,0.3,21.6,82.8,-,0.7,-,6.25
Róbert Bozeník,7(12),624,-,0.2,5.6,65.1,-,0.2,-,6.25
Dion De Neve,8(13),838,1,0.6,10.1,69.5,0.8,0.2,-,6.25
Malick Yalcouyé,7(16),668,2,0.4,16,85.6,-,0.4,-,6.25
Stefán Thórdarson,6(9),519,1,0.7,10.8,82.7,0.3,0.5,-,6.25
Kuryu Matsuki,2(7),285,-,0.3,14.3,80.6,0.2,0.1,-,6.25
Matt Phillips,3(5),266,-,0.6,7.6,65.6,-,0.5,0.1,6.25
Barry Bannan,2(2),163,-,-,18.3,82.2,0.3,1.8,-,6.24
Andreas Weimann,5(20),690,3,0.3,6.2,71.8,-,0.3,-,6.24
Raphael Borges Rodrigues,0(2),35,1,1.5,5,80,-,-,-,6.24
Ryan Oné,0(6),128,-,0.7,4.8,75.9,0.5,0.2,-,6.23
Harvey Knibbs,5(18),510,-,0.3,4.6,61,0.1,0.1,-,6.23
Kwame Poku,3(5),284,-,0.6,12.5,73,0.3,0.5,-,6.23
Sverre Nypan,3(17),613,-,0.4,11.6,81,0.1,0.3,0.1,6.23
Willum Willumsson,5(5),393,-,0.7,12.5,74.4,0.4,0.3,0.1,6.23
Rayan Kolli,3(11),516,-,0.1,9.1,70.9,0.1,0.3,-,6.23
Nathaniel Chalobah,1(2),73,-,-,10.3,93.5,-,0.3,-,6.23
Favour Fawunmi,0(2),34,-,-,5,70,-,-,-,6.23
Harry Pickering,4(5),392,-,0.3,15.7,66,0.3,0.8,-,6.22
Sam Morsy,3(4),344,-,0.3,37.1,87.7,-,1,0.1,6.22
Kwadwo Baah,6(17),728,1,0.6,7.1,75.5,0.1,0.2,-,6.22
Lyndon Dykes,2(19),422,-,0.2,6,50.8,-,-,-,6.22
Toby Collyer,3(9),254,1,0.3,15.4,88.6,0.1,0.3,-,6.22
Oriol Romeu,0(5),67,-,0.2,9.2,78.3,-,0.6,-,6.21
Corey Blackett-Taylor,2(7),269,1,0.3,5.1,78.3,0.4,0.1,-,6.21
Asmir Begovic,7(1),675,-,-,27.4,58,-,5.1,-,6.21
Samuel Edozie,0(2),41,-,0.5,9.5,73.7,-,-,-,6.21
Manuel Benson,1(5),138,-,-,11.3,88.2,-,0.3,-,6.21
Sontje Hansen,3(10),358,-,0.4,8.3,81.5,0.1,0.2,0.1,6.21
Tyler Dibling,0(1),7,-,-,6,66.7,-,-,-,6.2
Isaac Olaofe,6(16),672,1,0.5,4.5,69,-,0.1,-,6.2
Danny Ings,4(12),490,-,0.2,5.6,67.8,-,0.1,-,6.2
Alfons Sampsted,2(4),209,-,0.5,16.5,83.8,-,0.3,-,6.2
Kristi Montgomery,2(10),323,-,-,13.6,75.5,0.1,-,-,6.19
Daniel Kelly,3(6),335,-,-,9.8,69.3,-,0.7,-,6.19
Ben Johnson,4(5),357,-,0.3,20.1,82.9,0.7,1.2,-,6.19
Nathan Tinsdale,0(1),1,-,-,1,100,-,-,-,6.19
Zan Celar,1(1),76,-,0.5,3.5,85.7,-,-,-,6.19
Haydon Roberts,3(9),375,-,0.5,14,81,0.2,0.4,-,6.19
Cameron Archer,7(13),651,-,0.3,6,79.8,-,0.1,0.1,6.19
Harvey Blair,2(5),264,-,0.6,5.1,72.2,-,0.3,-,6.18
Jamie Donley,0(1),33,-,-,4,50,-,-,-,6.18
Jeon Jin-Woo,1(1),91,-,1.5,9,88.9,-,1,-,6.18
Josh Maja,6(21),816,1,0.4,9,77.3,-,0.1,-,6.18
Kealey Adamson,0(3),49,-,0.3,6.3,89.5,-,0.3,-,6.18
George Earthy,2(2),187,-,0.3,19.5,82.1,-,1,-,6.18
Victor Kristiansen,2(3),167,-,0.2,17.4,79.3,0.2,0.2,-,6.17
Chiedozie Ogbene,1(1),87,-,0.5,10.5,90.5,-,-,-,6.17
Kasey Palmer,3(6),250,-,0.2,13.4,73.6,-,0.1,-,6.17
Keshi Anderson,0(2),39,-,0.5,8.5,70.6,-,0.5,-,6.17
Zak Vyner,0(1),5,-,-,2,-,-,-,-,6.17
Kasey McAteer,0(2),16,-,-,7,92.9,0.5,-,-,6.17
Kieran Morgan,5(11),483,1,0.2,17.1,78.4,0.1,1.1,-,6.16
Luke Le Roux,4(6),373,-,0.4,16,86.3,0.3,1.3,-,6.16
Louis Page,4(11),450,1,0.3,14,83.3,0.3,0.1,0.1,6.16
Errol Mundle-Smith,0(5),66,-,-,3.6,72.2,-,-,-,6.16
Ali Al Hamadi,0(1),11,-,-,7,71.4,-,-,-,6.16
Jaydon Banel,0(3),49,-,-,2.3,71.4,-,-,-,6.16
Axel Henriksson,9(9),753,-,0.8,10.6,69.5,0.1,0.3,-,6.16
Kenzo Goudmijn,1(2),94,-,-,10.7,53.1,0.3,0.3,-,6.16
Leo Pecover,0(3),44,-,-,2,50,-,-,-,6.16
Ibrahim Fullah,2(6),289,-,0.3,9.3,83.8,-,0.4,-,6.15
Makhtar Gueye,0(16),187,-,0.1,3.7,52.5,-,0.2,-,6.15
Moussa Sissoko,8(12),741,-,0.3,9.5,82,0.1,0.5,-,6.15
Kaly Sène,5(18),625,-,0.1,4.5,67.3,-,0.1,-,6.15
Abdoulaye Kanté,1(3),83,-,-,11.3,71.1,-,0.5,-,6.15
Dan Neil,0(2),36,-,0.5,14,96.4,-,1.5,-,6.15
Louie Barry,6(3),449,-,0.7,12.2,83.6,0.7,0.1,-,6.14
Kai Andrews,0(7),54,-,0.1,5,88.6,-,0.1,-,6.14
Makenzie Kirk,4(9),445,-,0.1,4.2,61.1,-,0.1,-,6.14
Zak Lovelace,0(1),2,-,-,3,33.3,-,-,-,6.14
Delano Burgzorg,1(3),149,-,0.3,8.5,79.4,-,-,-,6.14
Jesurun Rak-Sakyi,2(1),146,-,-,9.3,57.1,-,-,-,6.14
Yang Min-Hyeok,0(3),29,-,0.3,5.7,52.9,-,-,-,6.14
Luke Berry,5(8),421,-,0.5,5.7,66.2,0.1,0.2,-,6.14
Scott Wright,0(3),6,-,-,0.3,100,-,-,-,6.13
Lewis Koumas,7(16),747,-,0.3,6.8,71.3,0.2,0.1,-,6.13
Andrew Moran,0(1),3,-,-,2,100,-,-,-,6.13
Milos Lukovic,1,46,-,-,1,-,-,-,-,6.13
Ole Romenij,2(11),317,-,-,7.2,69.9,-,0.1,-,6.13
Jack Walton,3,270,-,-,24,61.1,-,4.7,-,6.13
Olly Thomas,0(3),16,-,0.3,3.7,72.7,-,-,-,6.12
Cole McGhee,5(1),436,-,0.2,33.7,77.2,-,2.2,-,6.12
Harry Amass,0(1),16,-,-,5,80,-,-,-,6.12
Michael Frey,2(11),307,-,0.2,5.9,54.5,-,0.1,-,6.11
Anthony Patterson,1,90,-,-,23,60.9,-,5,-,6.11
Jacob Brown,1(3),113,-,-,4.3,76.5,0.3,-,-,6.11
Kyogo Furuhashi,8(18),1001,-,0.2,3.5,63.7,-,0.1,-,6.11
Jarvis Thornton,6(7),482,-,0.1,16.2,81.4,0.1,0.2,-,6.11
Julián Carranza,3(6),315,-,0.1,6.7,68.3,-,-,-,6.11
Kayden Jackson,2(17),368,-,0.3,4.5,74.4,0.1,0.1,-,6.11
Daryl Dike,1(11),181,-,0.2,2.7,56.3,0.1,0.1,-,6.1
Mark Harris,10(15),888,-,0.2,4.9,69.9,-,0.2,-,6.1
Steven Benda,9,810,-,-,25.4,52.4,-,5.7,-,6.1
Ben Sheaf,0(1),7,-,-,3,100,1,-,-,6.1
Oliver Bostock,0(2),6,-,0.5,3,83.3,0.5,-,-,6.1
Silko-Amari Thomas,1(15),240,-,0.2,3.7,69.5,0.1,0.1,-,6.09
Jerry Yates,5,416,-,-,8.2,53.7,-,0.2,-,6.09
Ryan Allsop,10,900,-,-,43.2,66.9,-,4.8,-,6.09
Dajaune Brown,0(1),1,-,-,3,33.3,-,-,-,6.08
Kieran Dowell,1(4),150,-,0.4,12.2,75.4,-,0.2,-,6.08
Cameron Humphreys,0(3),10,-,-,4,83.3,0.3,-,-,6.08
Onel Hernández,2(4),222,-,0.2,10.2,91.8,-,0.3,-,6.08
Iké Ugbo,6(14),621,-,0.1,5,77,-,-,-,6.08
Danny Imray,2(1),108,-,-,12.3,67.6,0.3,0.3,-,6.08
Max O'Leary,5,450,-,-,36,45.6,-,5.8,-,6.08
Gatlin O'Donkor,0(1),3,-,-,2,100,-,-,-,6.07
Dan McNamara,3(5),311,-,0.1,13,71.2,0.1,1,-,6.07
Ryan Nyambe,3(4),262,-,-,10.6,83.8,-,0.1,-,6.07
Owen Eames,0(2),13,-,-,0.5,100,-,-,-,6.07
Reece Johnson,4(7),435,-,0.1,14.1,68.4,-,0.4,-,6.06
Brandon Williams,0(1),5,-,-,4,100,-,-,-,6.06
Dujuan Richards,0(1),13,-,-,1,-,-,-,-,6.06
Ryan Andrews,0(3),29,-,-,2,33.3,-,0.3,-,6.06
Miguel Ángel Brau,1(7),193,-,0.1,7.9,68.3,0.4,0.4,-,6.06
Yukinari Sugawara,1(1),67,-,1,21,90.5,0.5,1,-,6.06
Ryan Hardie,2(4),179,-,0.2,4.8,69,-,-,-,6.05
Jamie Shackleton,0(3),21,-,-,1,66.7,-,-,-,6.05
Rio Shipston,0(4),24,-,-,3.3,69.2,-,-,-,6.05
Bruno Fernandes,0(4),14,-,-,2,62.5,-,-,-,6.04
Harry Cornick,0(1),6,-,-,3,100,-,-,-,6.04
Nathan Broadhead,0(1),22,-,-,8,37.5,-,-,-,6.04
Thomas Waddingham,0(4),55,-,-,1.3,100,-,-,-,6.04
Conor Chaplin,1(3),133,-,0.5,16,78.1,-,0.5,-,6.04
Edoardo Bove,0(1),4,-,1,1,100,-,-,-,6.03
Harry Ashfield,0(1),3,-,-,5,80,-,-,-,6.03
Kanya Fujimoto,0(2),2,-,0.5,1,100,-,-,-,6.03
Milan Smit,3(1),223,-,0.3,4.3,64.7,-,-,-,6.03
Tom Bradshaw,0(5),64,-,0.2,4.4,40.9,-,-,-,6.02
Finley Munroe,0(2),6,-,-,3.5,100,-,-,-,6.02
Jahnoah Markelo,0(1),8,-,-,1,-,-,-,-,6.02
Tom Watson,1(2),107,-,-,6,77.8,-,0.3,-,6.02
Neto Borges,0(3),10,-,-,3.7,90.9,-,-,-,6.02
Devlan Moses,0(4),16,-,0.3,0.8,66.7,-,-,-,6.02
Bobby Wales,0(4),22,-,-,1.8,42.9,-,-,-,6.01
Jacob Farrell,0(1),7,-,-,3,66.7,-,-,-,6.01
Fally Mayulu,1(9),131,-,-,4,55,-,0.1,-,6.01
Micah Hamilton,1(3),51,-,0.3,4.8,89.5,-,-,-,6.01
Cruz Allen,0(1),1,-,-,1,-,-,-,-,6
Franco Umeh,0(1),1,-,-,3,100,-,-,-,6
Noah Mawene,0(1),1,-,-,-,-,-,-,-,6
Pierre Dwomoh,0(1),1,-,-,2,100,-,-,-,6
Tammer Bany,0(1),1,-,-,1,-,-,-,-,6
Tom Dele-Bashiru,0(1),4,-,-,3,100,-,-,-,6
Wes Harding,2(6),201,-,-,10.4,65.1,-,0.3,-,6
James Morris,0(2),4,-,-,0.5,-,-,-,-,6
Jay Rodriguez,0(4),7,-,-,1.3,60,-,-,-,6
Toby Collyer,0(1),14,-,-,15,80,-,1,-,5.99
Joe Aribo,1(1),104,-,0.5,16,75,-,0.5,-,5.99
Nathan Dlamini,0(4),26,-,-,2.5,70,-,-,-,5.99
Aji Alese,0(1),4,-,-,9,55.6,-,-,-,5.98
Joe Emery,0(1),3,-,-,1,100,-,-,-,5.98
Joe Aribo,0(7),111,-,-,5,91.4,-,-,-,5.98
Damion Downs,1(10),277,1,0.1,2.8,71,-,0.2,-,5.97
Kevin Nisbet,0(2),13,-,-,2.5,60,-,-,-,5.97
Archie Baptiste,0(1),1,-,-,1,-,-,-,-,5.97
Josh Laqeretabua,0(1),2,-,-,1,100,-,-,-,5.97
Marcus Forss,0(1),1,-,-,1,100,-,-,-,5.97
Nicholas Oyekunle,0(2),29,-,-,3,66.7,-,-,-,5.97
Aodhan Doherty,1(2),85,-,-,9,66.7,-,0.3,-,5.97
Louie Sibley,0(3),19,-,-,4.3,76.9,-,-,-,5.96
Matty Godden,1(5),137,-,-,4.7,64.3,-,-,-,5.96
Davis Keillor-Dunn,0(1),18,-,-,7,57.1,-,-,-,5.96
Yunus Konak,1(2),102,-,-,14,73.8,-,1.3,-,5.95
Seny Dieng,1,90,-,-,27,40.7,-,5,-,5.93
Jack Grieves,0(1),18,-,-,2,50,-,-,-,5.91
Taylor Gardner-Hickman,0(1),1,-,-,-,-,-,-,-,5.88
Paddy McNair,2,166,-,0.5,69.5,89.2,-,5.5,-,5.87
Joel Ndala,2(1),197,-,0.7,11,81.8,-,0.3,-,5.87
Favour Onukwuli,0(3),20,-,0.3,2,66.7,-,-,-,5.85
Olabade Aluko,1(4),146,-,0.2,12.2,90.2,-,0.4,-,5.85
Olutayo Singerr,0(1),16,-,-,2,-,-,-,-,5.83
Nathan Redmond,0(6),103,-,-,8.2,73.5,-,0.5,-,5.82
Joe Williams,0(2),30,-,-,18,72.2,-,0.5,-,5.81
Aidomo Emakhu,2(1),160,-,-,8.7,69.2,0.3,-,-,5.74
Joe Wildsmith,7,630,-,-,25.3,37.9,-,4.9,-,5.7
Marvelous Nakamba,0(1),29,-,-,14,71.4,-,-,-,5.66
Adam Davies,0(1),45,-,-,12,58.3,-,4,-,5.46
Joe Rothwell,0(1),35,-,1,11,81.8,-,-,-,5.15
Rhys Norrington-Davies,1,57,-,-,58,89.7,-,2,-,4.71
